,esgScores
maxAge,86400
totalEsg,18.99
environmentScore,2.44
socialScore,7.98
governanceScore,8.58
ratingYear,2025
ratingMonth,5
highestControversy,3.0
peerCount,232
esgPerformance,LAG_PERF
peerGroup,Technology Hardware
relatedControversy,['Customer Incidents;Business Ethics Incidents']
peerEsgScorePerformance,"{'min': 4.51, 'avg': 16.682068965517235, 'max': 34.19}"
peerGovernancePerformance,"{'min': 0.76, 'avg': 4.806666666666665, 'max': 9.93}"
peerSocialPerformance,"{'min': 1.4, 'avg': 5.333777777777778, 'max': 12.45}"
peerEnvironmentPerformance,"{'min': 0.17, 'avg': 4.076666666666666, 'max': 11.83}"
peerHighestControversyPerformance,"{'min': 0.0, 'avg': 0.5862068965517241, 'max': 3.0}"
percentile,
environmentPercentile,
socialPercentile,
governancePercentile,
adult,False
alcoholic,False
animalTesting,False
catholic,
controversialWeapons,False
smallArms,False
furLeather,False
gambling,False
gmo,False
militaryContract,False
nuclear,False
pesticides,False
palmOil,False
coal,False
tobacco,False
